ar,end,name,start,n_authors,n_docs,n_journals,n_keywords,n_words
0,1984,AR0,0,3918.0,2493.0,836.0,0.0,4847.0
1,1990,AR1,1985,10322.0,6040.0,2046.0,37.0,12672.0
2,1994,AR2,1991,14177.0,11546.0,3268.0,1750.0,21460.0
3,2000,AR3,1995,44066.0,28742.0,7845.0,8520.0,46216.0
4,2007,AR4,2001,198832.0,79106.0,18370.0,26268.0,87948.0
5,2013,AR5,2008,469598.0,180174.0,34821.0,74201.0,128547.0
6,9998,AR6,2014,373579.0,132074.0,20892.0,70527.0,81149.0
