PY,lower_bound,n_docs,upper_bound
1981,127,127.0,127.0
1982,128,128.0,128.0
1983,179,179.0,179.0
1984,172,172.0,172.0
1985,151,151.0,151.0
1986,195,195.0,195.0
1987,195,195.0,195.0
1988,228,228.0,228.0
1989,397,397.0,397.0
1990,682,682.0,682.0
1991,1445,1445.0,1445.0
1992,1659,1659.0,1659.0
1993,1916,1916.0,1916.0
1994,1921,1921.0,1921.0
1995,2333,2333.0,2333.0
1996,2729,2729.0,2729.0
1997,2995,2995.0,2995.0
1998,3167,3167.0,3167.0
1999,3589,3589.0,3589.0
2000,3915,3915.0,3915.0
2001,4430,4430.0,4430.0
2002,4741,4741.0,4741.0
2003,5175,5175.0,5175.0
2004,5887,5887.0,5887.0
2005,6741,6741.0,6741.0
2006,7537,7537.0,7537.0
2007,9489,9489.0,9489.0
2008,11622,11622.0,11622.0
2009,13548,13548.0,13548.0
2010,16029,16029.0,16029.0
2011,18872,18872.0,18872.0
2012,22215,22215.0,22215.0
2013,25991,25991.0,25991.0
2014,28071,28071.0,28071.0
2015,30517,30517.0,30517.0
2016,33699,33699.0,33699.0
2017,36069,36069.0,36069.0
2018,36069,,41436.067200000005
2019,36069,,47601.75399936001
2020,36069,,54684.894994464776
2021,36069,,62822.007369641135
