ar,end,name,start,n_authors,n_docs,n_journals,n_keywords,n_words
0,1984,AR0,0,3918.0,2493.0,836.0,0.0,4847.0
1,1989,AR1,1988,3643.0,2142.0,714.0,1.0,4528.0
2,1994,AR2,1990,17413.0,13499.0,3867.0,1785.0,24928.0
3,2000,AR3,1996,38637.0,25074.0,6862.0,7605.0,39782.0
4,2006,AR4,2001,154701.0,61420.0,14582.0,20448.0,71923.0
5,2013,AR5,2007,513724.0,197858.0,38609.0,80021.0,144569.0
6,9998,AR6,2014,517799.0,182109.0,28206.0,98950.0,110324.0
