ar,end,name,start,n_docs_lower,n_docs_upper
0,1984,AR0,0,2493.0,2493.0
1,1990,AR1,1985,6040.0,6040.0
2,1994,AR2,1991,11546.0,11546.0
3,2000,AR3,1995,28742.0,28742.0
4,2007,AR4,2001,79106.0,79106.0
5,2013,AR5,2008,180174.0,180174.0
6,9998,AR6,2014,357869.0,466000.5298999969
